LABELS;S_3;S_2;S_4;C_3;S_0;C_2;S_1;C_4;C_1;C_0
JOB ID;3;2;4;3;0;2;1;4;1;0
EVENT TYPE;0;0;0;1;0;1;0;1;1;1
TIME;0.76;2.05;2.05;3.07;4.13;4.59;5.21;5.21;6.957581730769235;8.19
RESOURCE JOB 0;0.0;0.0;0.0;0.0;1.6606000000000023;5.2080000000000055;0.0;12.999086538461562;10.35231346153843;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.38;0.0;0.0
RESOURCE JOB 2;0.0;20.9304;0.0;24.623800000000003;10.6858;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;64.49999999999999;11.110000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;18.959600000000002;0.0;28.376199999999997;10.653600000000012;16.880599999999994;0.0;0.0;0.0;0.0
