LABELS;S_2;S_1;S_0;C_2;S_3;C_0;C_1;S_4;C_3;C_4
JOB ID;2;1;0;2;3;0;1;4;3;4
EVENT TYPE;0;0;0;1;0;1;1;0;1;1
TIME;0.73;2.793807345371222;3.5004845814977976;3.5004845814977976;3.5004845814977976;4.76;4.76;4.76;4.942761004262025;6.75
RESOURCE JOB 0;0.0;0.0;0.0;23.83;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;19.29228854625552;0.0;15.907711453744483;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;46.84842673992674;16.041573260073264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;23.23805947136563;0.0;0.0;0.0;3.3719405286343687;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0853030586297123;69.51469694137029;0.0
