LABELS;S_1;S_0;S_4;C_1;C_0;S_2;S_3;C_4;C_2;C_3
JOB ID;1;0;4;1;0;2;3;4;2;3
EVENT TYPE;0;0;0;1;1;0;0;1;1;1
TIME;1.27;3.37;4.6;5.128564102564105;5.25;5.25;5.25;7.063990024937655;9.44;9.44
RESOURCE JOB 0;0.0;39.80279999999999;14.407534358974416;3.9296656410255935;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;36.897000000000006;13.750199999999978;4.122800000000019;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;8.888551122194512;0.0;59.28144887780549;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;11.89095012468826;0.0;59.51904987531174;0.0;0.0
RESOURCE JOB 4;0.0;0.0;7.8978707692308205;2.1421292307692;0.0;69.91999999999997;0.0;0.0;0.0;0.0
