LABELS;S_2;S_0;S_3;C_2;S_4;C_0;S_1;C_3;C_4;C_1
JOB ID;2;0;3;2;4;0;1;3;4;1
EVENT TYPE;0;0;0;1;0;1;0;1;1;1
TIME;2.7;4.08;4.08;4.080000000000001;4.825959684487292;6.988006814310056;7.15;7.15;8.62;9.110454
RESOURCE JOB 0;0.0;0.0;0.0;21.647750043821176;62.45224995617882;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;56.72729999999996;0.0;24.522700000000043;0.0
RESOURCE JOB 2;58.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;15.650234180543364;20.981148783681604;3.3986170357750325;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;24.668957751277738;1.8483422487222754;16.772699999999986;0.0;0.0;0.0
