LABELS;S_20;S_9;C_20;S_8;S_16;C_9;C_16;C_8;S_14;S_28;C_28;S_18;C_18;S_27;S_1;S_29;C_29;C_27;C_14;S_10;S_15;S_22;S_3;S_13;S_11;C_15;C_22;S_21;S_12;S_7;C_3;C_13;S_23;S_6;S_24;C_23;C_12;C_24;C_7;S_19;S_2;S_4;C_10;C_6;S_17;S_0;S_25;C_2;C_11;C_1;C_17;S_26;C_4;C_0;C_25;C_26;C_19;S_5;C_5;C_21
RESOURCE JOB 8;0.0;0.0;0.0;62.76714336545588;0.0;4.48285663454412;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;12.048299999999998;22.431863083765677;54.38983691623433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.354143313373534;13.406656686626704;5.907800000000009;0.4395812547241036;0.0;0.0;1.4568069673347424;3.3991060922146374;0.0;0.3955056857264623;3.000938595913425;0.0;3.50306140408658;1.1191434325201328;7.010856567479863;2.845408703026237;0.0;4.3089912969737725;1.0840000000000032;0.0;2.1680000000000064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4058631956965826;0.9469834315948518;0.0;0.11018700838504714;0.8360548486769943;0.0;0.9759451513230104;0.31179088249177056;1.953209117508223;5.1290854296248085;0.0;20.423982734180147;0.3019999999999996;-2.2737367544323206e-13;1.3399999999999395;10.331432650279606;0.0;0.8193052934548746;1.358748272978687;3.7079119838056798;0.37750000000000483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1933745511391809;1.118430989620876;0.0;3.3016415943825432;2.1040722467491264;2.6129022631566983;5.349578354951575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3301050642478636;0.0;0.0;4.287097994278113;24.82225445200274;1.1772388053050604e-13;0.02991832678004691;19.8106241626907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.9649121107266865;7.106006920415226;0.6336692078618213;7.697730792138174;0.25742087912083633;0.0;15.647979120879171;0.0;4.380699496973918;35.361581471884165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.22647824351321;36.46931759926835;12.022699999999993;0.5515041572184316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;23.62285663454412;0.0;30.51714336545588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.837286963562633;23.49981303643733;2.392500000000041;0.0;2.775299999999959;4.115100000000041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
