n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
5;50.0;2;0;1.0;0.95;80.0;8000.0;286;0.027348356321454;17.24;2.5052806939929724;12.420000000000009;0.0
5;50.0;2;1;1.0;0.95;80.0;8000.0;454;0.0307032372802495;14.58;3.4808153826743364;11.829999999999998;0.0
5;50.0;2;2;1.0;0.95;80.0;8000.0;695;0.0321696251630783;15.5;13.587287886999547;13.079999999999991;0.0
5;50.0;2;3;1.0;0.95;80.0;8000.0;80;0.0293922312557697;6.37;1.2009427389129996;6.37;0.0
5;50.0;3;0;1.0;0.95;80.0;8000.0;3112;0.031395454891026;18.020000000000003;52.17870958894491;15.270000000000014;0.0
5;50.0;3;1;1.0;0.95;80.0;8000.0;3132;0.0298284478485584;13.77;23.52518013864756;12.489999999999997;0.0
5;50.0;3;2;1.0;0.95;80.0;8000.0;3840;0.0274318167939782;17.4;28.23646511696279;17.079999999999966;0.0
5;50.0;3;3;1.0;0.95;80.0;8000.0;2081;0.0298823108896613;21.090000000000003;32.14353509247303;19.53000000000001;0.0
5;50.0;4;0;1.0;0.95;80.0;8000.0;1042;0.0250792698934674;167.3918;14.15576208010316;15.219999999999992;0.0
5;50.0;4;1;1.0;0.95;80.0;8000.0;493;0.0307333460077643;19.32;7.002471292391419;18.19999999999999;0.0
5;50.0;4;2;1.0;0.95;80.0;8000.0;4071;0.0301543064415454;10.38;36.17247475124896;9.190000000000005;0.0
5;50.0;4;3;1.0;0.95;80.0;8000.0;926;0.0283172372728586;17.07;11.433700339868665;12.800000000000002;0.0
10;50.0;2;0;2.0;0.95;160.0;16000.0;2887;0.1207343488931655;243.95600000000005;219.83330197725445;21.660000000000004;0.0
10;50.0;2;1;2.0;0.95;160.0;16000.0;2;0.1212450331076979;308.8384148699407;0.2552880123257637;85.18599999999984;59.30599999999984
10;50.0;2;2;2.0;0.95;160.0;16000.0;5491;0.1200180631130933;18.37;136.6469419989735;15.56;0.0
10;50.0;2;3;2.0;0.95;160.0;16000.0;6548;0.1149932369589805;38.77000000000001;296.46726938616484;34.45000000000002;0.0
10;50.0;3;0;2.0;0.95;160.0;16000.0;5377;0.110696904361248;28.53;137.711461042054;22.309999999999995;0.0
10;50.0;3;1;2.0;0.95;160.0;16000.0;9928;0.1071687042713165;28.09;589.8830972556025;28.09;0.0
10;50.0;3;2;2.0;0.95;160.0;16000.0;11200;0.1110387966036796;31.05;519.662551634945;26.40999999999996;0.0
10;50.0;3;3;2.0;0.95;160.0;16000.0;6588;0.1327678607776761;33.31;425.66039174608886;22.800000000000004;0.0
10;50.0;4;0;2.0;0.95;160.0;16000.0;10345;0.1058702655136585;30.7;545.2347437534481;27.320000000000014;0.0
10;50.0;4;1;2.0;0.95;160.0;16000.0;10047;0.1078063873574137;31.099999999999994;549.7014402933419;25.74999999999998;0.0
10;50.0;4;2;2.0;0.95;160.0;16000.0;11413;0.1161302207037806;114.09293775379822;597.1543423626572;29.940000000000072;0.0
10;50.0;4;3;2.0;0.95;160.0;16000.0;8916;0.0723321875557303;203.20090344062152;619.465562951751;25.41000000000001;0.0
15;50.0;2;0;3.0;0.95;240.0;24000.0;14297;0.1245032753795385;89.63025411912862;1954.291590521112;45.320000000000064;0.0
15;50.0;2;1;3.0;0.95;240.0;24000.0;16918;0.0693198470398783;37.38;1333.7742491494864;29.639999999999965;0.0
15;50.0;2;2;3.0;0.95;240.0;24000.0;9259;0.0679548503831029;147.25189758269724;432.1656516669318;33.02000000000002;0.0
