LABELS;S_2;S_1;S_0;C_2;C_1;S_3;S_4;C_0;C_4;C_3
JOB ID;2;1;0;2;1;3;4;0;4;3
EVENT TYPE;0;0;0;1;1;0;0;1;1;1
TIME;0.0;0.94;3.0520378457059665;3.0520378457059665;4.519519710013589;4.519519710013589;5.140735881559033;6.24;7.07000000021277;8.771264860669843
RESOURCE JOB 0;0.0;0.0;6.897164762245826;0.0;2.919716006263588;0.0;3.0131192314905864;0.0;0.0;0.0
RESOURCE JOB 1;0.0;46.61267525473076;32.38732474526924;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;25.831200000000038;58.038799999999966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;4.298815907094472;0.0;7.60690769961149;5.743600001472366;57.400676391821676;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;38.540199992540295;29.099800007459706;0.0;0.0
