LABELS;S_3;S_2;C_3;S_4;S_0;C_2;S_1;C_4;C_0;C_1
JOB ID;3;2;3;4;0;2;1;4;0;1
EVENT TYPE;0;0;1;0;0;1;0;1;1;1
TIME;0.76;2.05;3.07;3.07;4.59;4.59;5.67;5.67;8.187619047619048;8.187619047619048
RESOURCE JOB 0;0.0;0.0;0.0;0.0;9.072000000000003;0.0;21.147999999999996;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;74.38;0.0;0.0;0.0
RESOURCE JOB 2;0.0;23.694599999999994;32.54540000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;64.49999999999999;11.110000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;36.74600000000001;0.0;38.123999999999995;0.0;0.0;0.0;0.0;0.0
