LABELS;S_0;S_2;C_2;S_3;S_4;C_0;S_1;C_3;C_1;C_4
JOB ID;0;2;2;3;4;0;1;3;1;4
EVENT TYPE;0;0;1;0;0;1;0;1;1;1
TIME;0.0;2.7;4.43;4.43;4.7;6.551775071261982;6.551775071261982;6.551775071261982;8.62;8.62
RESOURCE JOB 0;76.93569836745272;3.2178000000000004;0.0;0.5022000000000002;3.444301632547287;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;81.25;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;58.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;5.664600000000007;34.365399999999994;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;21.128753563099217;22.161246436900782;0.0;0.0;0.0;0.0
