LABELS;S_2;S_3;C_2;S_1;C_3;S_0;C_1;S_4;C_0;C_4
JOB ID;2;3;2;1;3;0;1;4;0;4
EVENT TYPE;0;0;1;0;1;0;1;0;1;1
TIME;1.66;1.66;2.985278810408922;4.300651070169803;4.92;5.043325948806242;6.47;8.21;11.097459807073957;11.097459807073957
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;14.495008360128573;17.678400000000025;29.3365916398714;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;23.237971847229005;0.3416128781932901;54.470415274577704;0.0;0.0;0.0;0.0
RESOURCE JOB 2;42.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;9.044679553903343;0.0;16.41584580181579;7.729474644280865;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.88;0.0;0.0
